qseqid sseqid summed_supercontig_length longest_intron_length total_intron_length exceeds_max_intron_length largest_intron_percent exceeds_max_intron_percent
VV16G04850_SIM1_transcript_22076-simsii_cds CM030792.1 51600775 19666219 51599620 TRUE 99.9977616615254 TRUE
VV16G04850_SIM1_transcript_22076-simsii_cds CM030793.1 44891920 33508639 44891311 TRUE 99.9986434084352 TRUE
VV16G04850_SIM1_transcript_22076-simsii_cds CM030794.1 967293 966879 966879 TRUE 99.9572001451473 TRUE
VV16G04850_SIM1_transcript_22076-simsii_cds CM030795.1 28015141 13218130 28014272 TRUE 99.9968981059206 TRUE
VV16G04850_SIM1_transcript_22076-simsii_cds CM030796.1 48465539 33416771 48462682 TRUE 99.9941050898041 TRUE
VV16G04850_SIM1_transcript_22076-simsii_cds CM030797.1 46216137 26909930 46215321 TRUE 99.9982343829386 TRUE
VV16G04850_SIM1_transcript_22076-simsii_cds CM030798.1 29154784 9827940 29153820 TRUE 99.99669351006 TRUE
VV16G04850_SIM1_transcript_22076-simsii_cds CM030799.1 23408784 11044555 23407762 TRUE 99.9956341175176 TRUE
VV16G04850_SIM1_transcript_22076-simsii_cds CM030800.1 7729651 7729342 7729342 TRUE 99.9960024068357 TRUE
VV16G07650_DEL1_transcript_8381-delavayi_cds CM030790.1 10110 2158 8374 TRUE 82.8288822947577 TRUE
VV16G09080_SIM1_transcript_7406-simsii_cds CM030789.1 676138 675970 675970 TRUE 99.9751530013104 TRUE
VV16G09080_SIM1_transcript_7406-simsii_cds CM030790.1 9191 1941 7357 TRUE 80.0456968773801 TRUE
VV16G09080_SIM1_transcript_7406-simsii_cds CM030791.1 1034986 1034814 1034814 TRUE 99.9833814177197 TRUE
VV16G09080_SIM1_transcript_7406-simsii_cds CM030793.1 9382 9318 9318 TRUE 99.3178426774675 TRUE
VV16G09100_SIM1_transcript_21997-simsii_cds CM030796.1 3193 400 676 TRUE 21.1713122455371 FALSE
VV16G09100_SIM1_transcript_21997-simsii_cds CM030798.1 707 273 273 TRUE 38.6138613861386 FALSE
VV16G09100_SIM1_transcript_21997-simsii_cds CM030799.1 125886 125234 125234 TRUE 99.4820710801837 TRUE
VV17G00490_DEL1_transcript_11953-delavayi_cds CM030795.1 3803 1114 2248 TRUE 59.1112279779122 TRUE
VV17G00870_DEL1_transcript_29801-delavayi_cds CM030795.1 6061 2296 4168 TRUE 68.7675301105428 TRUE
VV17G02300_SIM1_transcript_19166-simsii_cds CM030790.1 340 154 154 TRUE 45.2941176470588 FALSE
VV17G02300_SIM1_transcript_19166-simsii_cds CM030791.1 341 154 154 TRUE 45.1612903225806 FALSE
VV17G02300_SIM1_transcript_19166-simsii_cds CM030795.1 21481 8620 19672 TRUE 91.5786043480285 TRUE
VV17G03780_WIL1_transcript_834-williamsianum_cds CM030795.1 16187 10124 13009 TRUE 80.3669611416569 TRUE
VV17G03930_DEL1_transcript_18538-delavayi_cds CM030795.1 6597 3301 4200 TRUE 63.6653024101865 TRUE
VV17G04100_DEL1_transcript_27011-delavayi_cds CM030795.1 8704 2392 6786 TRUE 77.9641544117647 TRUE
VV17G05290_SIM1_transcript_24657-simsii_cds CM030795.1 5174 988 3572 TRUE 69.0374951681484 TRUE
VV17G05430_SIM1_transcript_27469-simsii_cds CM030799.1 5736 1139 3185 TRUE 55.5264993026499 TRUE
VV17G06970_DEL1_transcript_2745-delavayi_cds CM030799.1 4991 2683 2683 TRUE 53.7567621719094 TRUE
VV17G07550_DEL1_transcript_2953-delavayi_cds CM030794.1 2368 526 731 TRUE 30.8699324324324 FALSE
VV17G07700_WIL1_transcript_14440-williamsianum_cds CM030799.1 6486 2487 4541 TRUE 70.0123342584027 TRUE
VV18G02650_SIM1_transcript_24772-simsii_cds CM030798.1 18817 9290 17142 TRUE 91.0984747834405 TRUE
VV18G05220_DEL1_transcript_8796-delavayi_cds CM030793.1 10010 4288 8494 TRUE 84.8551448551449 TRUE
VV18G07810_DEL1_transcript_15838-delavayi_cds CM030794.1 6970 3623 5372 TRUE 77.0731707317073 TRUE
VV19G01730_WIL1_transcript_11738-williamsianum_cds CM030791.1 7992 1714 6262 TRUE 78.3533533533534 TRUE
VV19G03610_SIM1_transcript_14514-simsii_cds CM030792.1 2690651 1620297 2689191 TRUE 99.9457380388612 TRUE
VV19G03610_SIM1_transcript_14514-simsii_cds CM030793.1 19098496 11636419 19094536 TRUE 99.9792653829914 TRUE
VV19G05810_SIM1_transcript_14888-simsii_cds CM030793.1 2875 920 920 TRUE 32 FALSE
VV19G05810_SIM1_transcript_14888-simsii_cds CM030797.1 1784 472 473 TRUE 26.5134529147982 FALSE
VV19G06040_DEL1_transcript_3202-delavayi_cds CM030789.1 19140437 19140325 19140325 TRUE 99.9994148513955 TRUE
VV19G06040_DEL1_transcript_3202-delavayi_cds CM030791.1 9475579 9471212 9473466 TRUE 99.9777005711208 TRUE
