qseqid sseqid mean_paralogy_rate paralog_percent full_percent unique_percent missing_percent
VV03G10970_SIM1_transcript_11343-simsii_cds CM030798.1 0.2 0 18.2 18.2 81.8
VV04G01530_DEL1_transcript_15735-delavayi_cds CM030795.1 2 100 100 0 0
VV04G01530_DEL1_transcript_15735-delavayi_cds CM030791.1 0.1 0 6.3 6.3 93.7
VV04G01530_DEL1_transcript_15735-delavayi_cds CM030788.1 0.1 0 6.3 6.3 93.7
VV04G03540_DEL1_transcript_8169-delavayi_cds CM030792.1 1 0.2 100 99.8 0
VV04G09920_DEL1_transcript_24584-delavayi_cds CM030794.1 1 1.7 100 98.3 0
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030789.1 1.5 25.5 98.2 72.7 1.8
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030794.1 0.8 24.7 31.5 6.8 68.5
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030790.1 1 24.7 31.5 6.8 68.5
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030800.1 0.4 13.1 24.7 11.5 75.3
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030799.1 0.3 0.7 24.7 24 75.3
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030798.1 0.3 0.7 24.7 24 75.3
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030797.1 0.3 0.7 24.7 24 75.3
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030795.1 0.3 0.7 24.7 24 75.3
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030793.1 0.3 0.7 24.7 24 75.3
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030791.1 0.8 24.7 24.7 0 75.3
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030796.1 0.5 24.7 24.7 0 75.3
VV04G12990_DEL1_transcript_10303-delavayi_cds CM030792.1 0.3 0.7 24.7 24 75.3
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030796.1 1.2 17.3 99.7 82.4 0.3
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030793.1 0 0 3.1 3.1 96.9
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030792.1 0.4 2.8 35.2 32.3 64.8
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030794.1 0.2 0 23.5 23.5 76.5
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030799.1 0.1 0 6.7 6.7 93.3
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030789.1 0.5 0.2 54 53.8 46
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030798.1 0 0 3.9 3.9 96.1
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030788.1 0.1 2.5 3.1 0.6 96.9
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030800.1 0 0 2.6 2.6 97.4
VV05G07090_WIL1_transcript_17381-williamsianum_cds CM030790.1 0.1 0 9.7 9.7 90.3
VV05G10000_DEL1_transcript_27984-delavayi_cds CM030789.1 1 0.8 100 99.2 0
VV05G10000_DEL1_transcript_27984-delavayi_cds CM030791.1 0.1 0 6.2 6.2 93.8
VV06G02060_SIM1_transcript_2298-simsii_cds CM030788.1 1 4 100 96 0
VV06G02060_SIM1_transcript_2298-simsii_cds CM030800.1 0.4 17.6 17.6 0 82.4
VV06G03530_SIM1_transcript_28928-simsii_cds CM030800.1 1 0 97.9 97.9 2.1
VV06G08760_SIM1_transcript_29112-simsii_cds CM030800.1 1 1.4 98.5 97 1.5
VV06G08760_SIM1_transcript_29112-simsii_cds CM030792.1 0 0 3.1 3.1 96.9
VV06G08760_SIM1_transcript_29112-simsii_cds CM030799.1 0 0 3.1 3.1 96.9
VV06G08760_SIM1_transcript_29112-simsii_cds CM030794.1 0 0 3.1 3.1 96.9
VV06G10880_DEL1_transcript_15400-delavayi_cds CM030788.1 1 0 100 100 0
VV06G11650_SIM1_transcript_30332-simsii_cds CM030800.1 1.2 18.4 96.4 78 3.6
VV06G12340_DEL1_transcript_8718-delavayi_cds CM030788.1 2.3 100 100 0 0
VV07G00640_DEL1_transcript_28792-delavayi_cds CM030797.1 1 0 100 100 0
VV07G03650_WIL1_transcript_4052-williamsianum_cds CM030788.1 1 2.4 100 97.6 0
VV07G06180_DEL1_transcript_18684-delavayi_cds CM030795.1 1 3 100 97 0
VV07G06180_DEL1_transcript_18684-delavayi_cds CM030789.1 0.1 5.2 5.2 0 94.8
VV07G06180_DEL1_transcript_18684-delavayi_cds CM030791.1 0.1 0 5.2 5.2 94.8
VV07G08140_DEL1_transcript_1902-delavayi_cds CM030800.1 1.2 8.7 100 91.3 0
VV07G08140_DEL1_transcript_1902-delavayi_cds CM030789.1 0.2 0.3 18.3 18.1 81.7
VV07G10730_DEL1_transcript_6255-delavayi_cds CM030788.1 1 0.1 100 99.9 0
VV07G12390_WIL1_transcript_7323-williamsianum_cds CM030800.1 1 0.4 100 99.6 0
VV08G00090_SIM1_transcript_12497-simsii_cds CM030792.1 2.8 94.7 94.7 0 5.3
VV08G01030_SIM1_transcript_5930-simsii_cds CM030790.1 2 87.1 99.9 12.9 0.1
VV08G01030_SIM1_transcript_5930-simsii_cds CM030800.1 0 0 3 3 97
VV08G01030_SIM1_transcript_5930-simsii_cds CM030796.1 0.1 3 3 0 97
VV08G01030_SIM1_transcript_5930-simsii_cds CM030793.1 0 0 3 3 97
VV08G01030_SIM1_transcript_5930-simsii_cds CM030791.1 0.1 3 3 0 97
VV08G01030_SIM1_transcript_5930-simsii_cds CM030788.1 0 0 3 3 97
VV08G03580_SIM1_transcript_9086-simsii_cds CM030791.1 1 0.6 98 97.4 2
VV08G03580_SIM1_transcript_9086-simsii_cds CM030800.1 0.6 0.3 54.8 54.4 45.2
VV08G03580_SIM1_transcript_9086-simsii_cds CM030793.1 0 0 3.5 3.5 96.5
VV08G05840_DEL1_transcript_11482-delavayi_cds CM030792.1 2 100 100 0 0
VV08G05840_DEL1_transcript_11482-delavayi_cds CM030788.1 1 0.8 100 99.2 0
VV08G05840_DEL1_transcript_11482-delavayi_cds CM030795.1 1 0.8 100 99.2 0
VV08G05840_DEL1_transcript_11482-delavayi_cds CM030793.1 1 0.6 100 99.4 0
VV08G07770_SIM1_transcript_8951-simsii_cds CM030791.1 1 2.3 93.9 91.6 6.1
VV08G10800_DEL1_transcript_5350-delavayi_cds CM030790.1 1.5 42.4 100 57.6 0
VV08G10800_DEL1_transcript_5350-delavayi_cds CM030798.1 0 0 0.8 0.8 99.2
VV08G10800_DEL1_transcript_5350-delavayi_cds CM030795.1 0 0 3.3 3.2 96.7
VV08G10800_DEL1_transcript_5350-delavayi_cds CM030793.1 0.1 2 11.7 9.6 88.3
VV08G10800_DEL1_transcript_5350-delavayi_cds CM030792.1 0.1 0.3 8.1 7.7 91.9
VV08G10800_DEL1_transcript_5350-delavayi_cds CM030791.1 0 0 1.6 1.6 98.4
VV08G11170_SIM1_transcript_6192-simsii_cds CM030790.1 1 1.5 96.8 95.4 3.2
VV08G13180_DEL1_transcript_30514-delavayi_cds CM030792.1 1 0.1 100 99.9 0
VV08G13180_DEL1_transcript_30514-delavayi_cds CM030789.1 0.1 2.5 4.5 2 95.5
VV08G13180_DEL1_transcript_30514-delavayi_cds CM030793.1 0 0 2.6 2.6 97.4
VV08G13180_DEL1_transcript_30514-delavayi_cds CM030794.1 0 0 2.6 2.6 97.4
VV08G13180_DEL1_transcript_30514-delavayi_cds CM030797.1 0 0 2.5 2.5 97.5
VV08G13180_DEL1_transcript_30514-delavayi_cds CM030790.1 0 0 2.6 2.6 97.4
VV09G01630_DEL1_transcript_3569-delavayi_cds CM030795.1 1 1.8 100 98.2 0
VV09G01630_DEL1_transcript_3569-delavayi_cds CM030799.1 0.1 0 7.2 7.2 92.8
VV09G04080_SIM1_transcript_19747-simsii_cds CM030795.1 1 0.3 97.1 96.8 2.9
VV09G04240_WIL1_transcript_224-williamsianum_cds CM030795.1 1 2.1 100 97.9 0
VV09G05090_WIL1_transcript_261-williamsianum_cds CM030795.1 1 1 100 99 0
VV09G05090_WIL1_transcript_261-williamsianum_cds CM030791.1 0 0 4.3 4.3 95.7
VV09G05090_WIL1_transcript_261-williamsianum_cds CM030794.1 0.1 2.3 4.5 2.2 95.5
VV09G05090_WIL1_transcript_261-williamsianum_cds CM030796.1 0 0 2.4 2.4 97.6
VV09G05090_WIL1_transcript_261-williamsianum_cds CM030788.1 0 2.4 2.4 0 97.6
VV09G07180_WIL1_transcript_14568-williamsianum_cds CM030799.1 1 1.5 98.2 96.7 1.8
VV09G08710_SIM1_transcript_15886-simsii_cds CM030794.1 1.2 23.9 100 76.1 0
VV09G08710_SIM1_transcript_15886-simsii_cds CM030793.1 0.3 0.2 32.4 32.2 67.6
VV09G08710_SIM1_transcript_15886-simsii_cds CM030788.1 0.6 29.8 32.4 2.6 67.6
VV09G08710_SIM1_transcript_15886-simsii_cds CM030798.1 0.4 9 29.8 20.8 70.2
VV09G08710_SIM1_transcript_15886-simsii_cds CM030795.1 0.3 0.2 32.4 32.2 67.6
VV09G08710_SIM1_transcript_15886-simsii_cds CM030792.1 0.3 0.2 32.4 32.2 67.6
VV09G08710_SIM1_transcript_15886-simsii_cds CM030789.1 1 9 89.4 80.4 10.6
VV10G00200_DEL1_transcript_28820-delavayi_cds CM030797.1 1.8 75.5 100 24.5 0
VV10G04690_WIL1_transcript_6685-williamsianum_cds CM030800.1 1 1.8 100 98.2 0
VV10G04690_WIL1_transcript_6685-williamsianum_cds CM030798.1 0.6 0.7 58.7 58 41.3
VV10G04690_WIL1_transcript_6685-williamsianum_cds CM030795.1 0.2 0.2 23 22.9 77
VV10G04690_WIL1_transcript_6685-williamsianum_cds CM030799.1 0.1 0 14.3 14.3 85.7
VV10G04690_WIL1_transcript_6685-williamsianum_cds CM030796.1 0.1 0 5.5 5.5 94.5
VV10G04690_WIL1_transcript_6685-williamsianum_cds CM030794.1 0.1 0 8.9 8.9 91.1
VV10G04690_WIL1_transcript_6685-williamsianum_cds CM030788.1 0.1 0 8.9 8.9 91.1
VV10G04690_WIL1_transcript_6685-williamsianum_cds CM030790.1 0.1 0 12.6 12.6 87.4
VV10G04810_SIM1_transcript_29281-simsii_cds CM030800.1 1 1.9 97.4 95.6 2.6
VV11G04690_SIM1_transcript_10838-simsii_cds CM030792.1 1 0.8 100 99.2 0
VV11G05620_DEL1_transcript_11534-delavayi_cds CM030788.1 1.3 25.4 100 74.6 0
VV11G05620_DEL1_transcript_11534-delavayi_cds CM030795.1 0.4 14.8 21.7 6.9 78.3
VV11G05620_DEL1_transcript_11534-delavayi_cds CM030792.1 0.1 0 13 13 87
VV11G07800_DEL1_transcript_28743-delavayi_cds CM030788.1 2.4 82.1 100 17.9 0
VV11G08290_DEL1_transcript_16694-delavayi_cds CM030788.1 1.1 12.4 100 87.6 0
VV11G08290_DEL1_transcript_16694-delavayi_cds CM030795.1 0.1 0 10.7 10.7 89.3
VV12G02930_DEL1_transcript_25311-delavayi_cds CM030790.1 1 1.7 99.9 98.2 0.1
VV12G05350_WIL1_transcript_21205-williamsianum_cds CM030798.1 1 2 100 98 0
VV12G08230_DEL1_transcript_2082-delavayi_cds CM030792.1 1 3.2 100 96.8 0
VV12G08560_DEL1_transcript_19480-delavayi_cds CM030798.1 1 1.5 100 98.5 0
VV12G11850_DEL1_transcript_1588-delavayi_cds CM030793.1 1 0 100 100 0
VV13G02790_SIM1_transcript_7608-simsii_cds CM030790.1 1 3.8 99.5 95.7 0.5
VV13G02800_DEL1_transcript_13887-delavayi_cds CM030796.1 1 0.5 100 99.5 0
VV13G06090_DEL1_transcript_13852-delavayi_cds CM030794.1 1 2.2 100 97.8 0
VV13G09980_DEL1_transcript_4751-delavayi_cds CM030796.1 1 0.3 100 99.7 0
VV13G09980_DEL1_transcript_4751-delavayi_cds CM030790.1 0.9 0 86.8 86.8 13.2
VV14G06090_DEL1_transcript_28779-delavayi_cds CM030797.1 1.1 10.1 100 89.9 0
VV14G06090_DEL1_transcript_28779-delavayi_cds CM030793.1 0.1 0 12.3 12.3 87.7
VV14G09000_SIM1_transcript_16900-simsii_cds CM030791.1 1 0 99.9 99.9 0.1
VV14G09000_SIM1_transcript_16900-simsii_cds CM030794.1 1 0 99.8 99.8 0.2
VV14G10230_SIM1_transcript_25114-simsii_cds CM030798.1 1 2.7 99.1 96.4 0.9
VV14G10230_SIM1_transcript_25114-simsii_cds CM030797.1 0.1 0 12.3 12.3 87.7
VV14G11070_WIL1_transcript_1650-williamsianum_cds CM030795.1 1 0.9 100 99.1 0
VV14G11380_SIM1_transcript_11994-simsii_cds CM030792.1 1 4.2 100 95.8 0
VV14G11380_SIM1_transcript_11994-simsii_cds CM030797.1 0.3 5.8 19.9 14.2 80.1
VV14G11380_SIM1_transcript_11994-simsii_cds CM030790.1 0.1 0 5.8 5.8 94.2
VV14G11380_SIM1_transcript_11994-simsii_cds JACTNZ010000040.1 0.1 0 5.8 5.8 94.2
VV14G11380_SIM1_transcript_11994-simsii_cds CM030789.1 0.1 0 5.8 5.8 94.2
VV15G00330_WIL1_transcript_22167-williamsianum_cds CM030794.1 1 1.1 100 98.9 0
VV15G00330_WIL1_transcript_22167-williamsianum_cds CM030792.1 0.4 21.6 22.4 0.8 77.6
VV15G00330_WIL1_transcript_22167-williamsianum_cds CM030799.1 0.1 0 9.7 9.7 90.3
VV15G06810_DEL1_transcript_27890-delavayi_cds CM030788.1 1 0.6 100 99.4 0
VV16G01560_DEL1_transcript_31096-delavayi_cds CM030790.1 1.5 30.2 99.1 68.9 0.9
VV16G01560_DEL1_transcript_31096-delavayi_cds CM030791.1 0 0 1 1 99
VV16G04850_SIM1_transcript_22076-simsii_cds CM030796.1 1.8 13.3 99.6 86.3 0.4
VV16G04850_SIM1_transcript_22076-simsii_cds CM030788.1 1.8 13.5 99.6 86.1 0.4
VV16G04850_SIM1_transcript_22076-simsii_cds CM030792.1 0.7 13.3 13.3 0 86.7
VV16G04850_SIM1_transcript_22076-simsii_cds CM030791.1 0.6 13.3 13.3 0 86.7
VV16G04850_SIM1_transcript_22076-simsii_cds CM030795.1 0.6 13.3 13.3 0 86.7
VV16G04850_SIM1_transcript_22076-simsii_cds CM030793.1 0.4 13 13.3 0.3 86.7
VV16G04850_SIM1_transcript_22076-simsii_cds CM030799.1 0.7 13.3 13.3 0 86.7
VV16G04850_SIM1_transcript_22076-simsii_cds CM030798.1 0.6 13.3 13.3 0 86.7
VV16G04850_SIM1_transcript_22076-simsii_cds CM030794.1 0.3 13.3 13.3 0 86.7
VV16G04850_SIM1_transcript_22076-simsii_cds CM030790.1 0.4 13.3 13.3 0 86.7
VV16G04850_SIM1_transcript_22076-simsii_cds CM030789.1 0.4 12.9 13.3 0.4 86.7
VV16G04850_SIM1_transcript_22076-simsii_cds CM030797.1 0.5 13.3 13.3 0 86.7
VV16G04850_SIM1_transcript_22076-simsii_cds JACTNZ010000036.1 0.1 0 13.3 13.3 86.7
VV16G04850_SIM1_transcript_22076-simsii_cds CM030800.1 0.2 6.6 13.3 6.7 86.7
VV16G07650_DEL1_transcript_8381-delavayi_cds CM030790.1 1 3.2 100 96.8 0
VV16G09080_SIM1_transcript_7406-simsii_cds CM030790.1 1 2.5 94.7 92.2 5.3
VV16G09080_SIM1_transcript_7406-simsii_cds CM030792.1 0 0 4.9 4.9 95.1
VV16G09080_SIM1_transcript_7406-simsii_cds CM030791.1 0.1 4.5 4.7 0.2 95.3
VV16G09080_SIM1_transcript_7406-simsii_cds CM030789.1 0.1 4.5 4.5 0 95.5
VV16G09080_SIM1_transcript_7406-simsii_cds CM030793.1 0 1.7 1.7 0 98.3
VV16G09100_SIM1_transcript_21997-simsii_cds CM030796.1 1 0 100 99.9 0
VV16G09100_SIM1_transcript_21997-simsii_cds CM030799.1 0.3 12.3 13.7 1.4 86.3
VV16G09100_SIM1_transcript_21997-simsii_cds CM030798.1 0.2 0 17.4 17.4 82.6
VV16G09100_SIM1_transcript_21997-simsii_cds CM030794.1 0.1 0 8.6 8.6 91.4
VV17G00490_DEL1_transcript_11953-delavayi_cds CM030795.1 1 0.8 100 99.2 0
VV17G00870_DEL1_transcript_29801-delavayi_cds CM030795.1 1 1.2 100 98.8 0
VV17G00870_DEL1_transcript_29801-delavayi_cds CM030799.1 0.1 0 8.4 8.4 91.6
VV17G02300_SIM1_transcript_19166-simsii_cds CM030795.1 1 2.2 99.9 97.7 0.1
VV17G02300_SIM1_transcript_19166-simsii_cds CM030791.1 0.1 0 10.6 10.6 89.4
VV17G02300_SIM1_transcript_19166-simsii_cds CM030790.1 0.1 0 10.6 10.6 89.4
VV17G02300_SIM1_transcript_19166-simsii_cds CM030800.1 0 0 4.8 4.8 95.2
VV17G03780_WIL1_transcript_834-williamsianum_cds CM030795.1 1.1 12 100 88 0
VV17G03930_DEL1_transcript_18538-delavayi_cds CM030795.1 1 0.4 100 99.6 0
VV17G04100_DEL1_transcript_27011-delavayi_cds CM030795.1 1 3.9 100 96.1 0
VV17G05290_SIM1_transcript_24657-simsii_cds CM030795.1 1 1.2 100 98.8 0
VV17G05430_SIM1_transcript_27469-simsii_cds CM030799.1 1 0.9 100 99.1 0
VV17G06970_DEL1_transcript_2745-delavayi_cds CM030799.1 1 0.1 100 99.9 0
VV17G07550_DEL1_transcript_2953-delavayi_cds CM030794.1 1 1 100 99 0
VV17G07700_WIL1_transcript_14440-williamsianum_cds CM030799.1 1 0.3 96.3 96 3.7
VV18G02650_SIM1_transcript_24772-simsii_cds CM030798.1 1 1.8 95.8 94 4.2
VV18G05220_DEL1_transcript_8796-delavayi_cds CM030793.1 1 1.2 100 98.8 0
VV18G07810_DEL1_transcript_15838-delavayi_cds CM030794.1 1 0.8 100 99.2 0
VV18G12070_DEL1_transcript_20901-delavayi_cds CM030789.1 1 0 100 100 0
VV18G12070_DEL1_transcript_20901-delavayi_cds CM030792.1 0.6 0 58.4 58.4 41.6
VV18G12350_WIL1_transcript_9403-williamsianum_cds CM030794.1 1 0 100 100 0
VV18G12350_WIL1_transcript_9403-williamsianum_cds CM030789.1 0.1 0 7.9 7.9 92.1
VV18G12350_WIL1_transcript_9403-williamsianum_cds CM030793.1 0.8 0 76 76 24
VV19G01730_WIL1_transcript_11738-williamsianum_cds CM030791.1 1.1 12.3 100 87.7 0
VV19G01730_WIL1_transcript_11738-williamsianum_cds CM030793.1 0.1 0 7.5 7.5 92.5
VV19G01730_WIL1_transcript_11738-williamsianum_cds CM030795.1 0.1 0 7.5 7.5 92.5
VV19G01810_WIL1_transcript_10054-williamsianum_cds CM030793.1 1 0 100 100 0
VV19G03610_SIM1_transcript_14514-simsii_cds CM030793.1 2.5 75.2 100 24.8 0
VV19G03610_SIM1_transcript_14514-simsii_cds CM030792.1 0.9 23.4 65.7 42.3 34.3
VV19G05810_SIM1_transcript_14888-simsii_cds CM030793.1 1 0.5 100 99.5 0
VV19G05810_SIM1_transcript_14888-simsii_cds CM030797.1 0.7 0 69.5 69.5 30.5
VV19G06040_DEL1_transcript_3202-delavayi_cds CM030791.1 1 4.2 100 95.8 0
VV19G06040_DEL1_transcript_3202-delavayi_cds CM030799.1 0 0 2.8 2.8 97.2
VV19G06040_DEL1_transcript_3202-delavayi_cds CM030796.1 0 0 2.8 2.8 97.2
VV19G06040_DEL1_transcript_3202-delavayi_cds CM030795.1 0 0 2.8 2.8 97.2
VV19G06040_DEL1_transcript_3202-delavayi_cds CM030793.1 0 0 2.8 2.8 97.2
VV19G06040_DEL1_transcript_3202-delavayi_cds CM030789.1 0.1 2.8 2.8 0 97.2
VV19G06040_DEL1_transcript_3202-delavayi_cds CM030800.1 0 0 2.8 2.8 97.2
