qseqid sseqid intron_length intron_position_on_target supercontig_length
VV01G00460_DEL1_transcript_24861-delavayi_cds CM030799.1 104 1442 7159
VV01G00460_DEL1_transcript_24861-delavayi_cds CM030799.1 145 1338 7159
VV01G00460_DEL1_transcript_24861-delavayi_cds CM030799.1 75 1285 7159
VV01G00460_DEL1_transcript_24861-delavayi_cds CM030799.1 171 1211 7159
VV01G00460_DEL1_transcript_24861-delavayi_cds CM030799.1 109 1149 7159
VV01G00460_DEL1_transcript_24861-delavayi_cds CM030799.1 548 1055 7159
VV01G00460_DEL1_transcript_24861-delavayi_cds CM030799.1 74 1008 7159
VV01G00460_DEL1_transcript_24861-delavayi_cds CM030799.1 378 850 7159
VV01G00460_DEL1_transcript_24861-delavayi_cds CM030799.1 82 722 7159
VV01G00460_DEL1_transcript_24861-delavayi_cds CM030799.1 85 585 7159
VV01G00460_DEL1_transcript_24861-delavayi_cds CM030799.1 1342 411 7159
VV01G01060_SIM1_transcript_26254-simsii_cds CM030799.1 86140 651 88953
VV01G02980_SIM1_transcript_20743-simsii_cds CM030796.1 864 1225 13202
VV01G02980_SIM1_transcript_20743-simsii_cds CM030796.1 6858 1280 13202
VV01G02980_SIM1_transcript_20743-simsii_cds CM030796.1 129 1513 13202
VV01G02980_SIM1_transcript_20743-simsii_cds CM030796.1 175 1619 13202
VV01G02980_SIM1_transcript_20743-simsii_cds CM030796.1 1195 1911 13202
VV01G02980_SIM1_transcript_20743-simsii_cds CM030796.1 143 2002 13202
VV01G02980_SIM1_transcript_20743-simsii_cds CM030796.1 1105 2224 13202
VV01G02980_SIM1_transcript_20743-simsii_cds CM030796.1 344 2376 13202
VV01G05290_DEL1_transcript_4832-delavayi_cds CM030796.1 303 555 4695
VV01G05290_DEL1_transcript_4832-delavayi_cds CM030796.1 2454 1935 4695
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 767 2658 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 482 2423 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 158 2346 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 1013 2084 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 124 1877 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 1209 1384 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 665 1138 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 547 1063 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 2692 590 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 1761 354 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 2359683 2084 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 16173099 2820 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 1380 1063 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 2650 592 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 6986 354 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 606 235 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 2974623 2850 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 91 2727 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 1219 2658 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 307 2506 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 74 2423 21550105
VV01G11840_WIL1_transcript_18346-williamsianum_cds CM030797.1 161 2342 21550105
