qseqid mean_paralogy_rate paralog_percent full_percent unique_percent missing_percent n_chroms
VV10G04810_SIM1_transcript_29281-simsii_cds 1 1.9 97.4 95.6 2.6 1
VV11G04690_SIM1_transcript_10838-simsii_cds 1 0.8 100 99.2 0 1
VV11G05620_DEL1_transcript_11534-delavayi_cds 1.8 26.7 100 73.3 0 3
VV11G07800_DEL1_transcript_28743-delavayi_cds 2.4 82.1 100 17.9 0 1
VV11G08290_DEL1_transcript_16694-delavayi_cds 1.2 12.4 100 87.6 0 2
VV12G02930_DEL1_transcript_25311-delavayi_cds 1 1.7 99.9 98.2 0.1 1
VV12G05350_WIL1_transcript_21205-williamsianum_cds 1 2 100 98 0 1
VV12G08230_DEL1_transcript_2082-delavayi_cds 1 3.2 100 96.8 0 1
VV12G08560_DEL1_transcript_19480-delavayi_cds 1 1.5 100 98.5 0 1
VV12G11850_DEL1_transcript_1588-delavayi_cds 1 0 100 100 0 1
VV13G02790_SIM1_transcript_7608-simsii_cds 1 3.8 99.5 95.7 0.5 1
VV13G02800_DEL1_transcript_13887-delavayi_cds 1 0.5 100 99.5 0 1
VV13G06090_DEL1_transcript_13852-delavayi_cds 1 2.2 100 97.8 0 1
VV13G09980_DEL1_transcript_4751-delavayi_cds 1.9 86.8 100 13.2 0 2
VV14G06090_DEL1_transcript_28779-delavayi_cds 1.2 22.4 100 77.6 0 2
VV14G09000_SIM1_transcript_16900-simsii_cds 2 99.8 99.9 0.1 0.1 2
VV14G10230_SIM1_transcript_25114-simsii_cds 1.1 14.8 99.1 84.3 0.9 2
VV14G11070_WIL1_transcript_1650-williamsianum_cds 1 0.9 100 99.1 0 1
VV14G11380_SIM1_transcript_11994-simsii_cds 1.5 22.9 100 77.1 0 5
VV15G00330_WIL1_transcript_22167-williamsianum_cds 1.6 23.3 100 76.7 0 3
VV15G06810_DEL1_transcript_27890-delavayi_cds 1 0.6 100 99.4 0 1
VV16G01560_DEL1_transcript_31096-delavayi_cds 1.5 31.1 99.1 68 0.9 2
VV16G04850_SIM1_transcript_22076-simsii_cds 9.1 99.6 99.6 0 0.4 14
VV16G07650_DEL1_transcript_8381-delavayi_cds 1 3.2 100 96.8 0 1
VV16G09080_SIM1_transcript_7406-simsii_cds 1.2 6.3 94.7 88.4 5.3 5
VV16G09100_SIM1_transcript_21997-simsii_cds 1.5 26.1 100 73.9 0 4
VV17G00490_DEL1_transcript_11953-delavayi_cds 1 0.8 100 99.2 0 1
VV17G00870_DEL1_transcript_29801-delavayi_cds 1.1 9.4 100 90.6 0 2
VV17G02300_SIM1_transcript_19166-simsii_cds 1.3 11.9 99.9 88 0.1 4
VV17G03780_WIL1_transcript_834-williamsianum_cds 1.1 12 100 88 0 1
VV17G03930_DEL1_transcript_18538-delavayi_cds 1 0.4 100 99.6 0 1
VV17G04100_DEL1_transcript_27011-delavayi_cds 1 3.9 100 96.1 0 1
VV17G05290_SIM1_transcript_24657-simsii_cds 1 1.2 100 98.8 0 1
VV17G05430_SIM1_transcript_27469-simsii_cds 1 0.9 100 99.1 0 1
VV17G06970_DEL1_transcript_2745-delavayi_cds 1 0.1 100 99.9 0 1
VV17G07550_DEL1_transcript_2953-delavayi_cds 1 1 100 99 0 1
VV17G07700_WIL1_transcript_14440-williamsianum_cds 1 0.3 96.3 96 3.7 1
VV18G02650_SIM1_transcript_24772-simsii_cds 1 1.8 95.8 94 4.2 1
VV18G05220_DEL1_transcript_8796-delavayi_cds 1 1.2 100 98.8 0 1
VV18G07810_DEL1_transcript_15838-delavayi_cds 1 0.8 100 99.2 0 1
VV18G12070_DEL1_transcript_20901-delavayi_cds 1.6 58.4 100 41.6 0 2
VV18G12350_WIL1_transcript_9403-williamsianum_cds 1.8 83.8 100 16.2 0 3
VV19G01730_WIL1_transcript_11738-williamsianum_cds 1.3 19.9 100 80.1 0 3
VV19G01810_WIL1_transcript_10054-williamsianum_cds 1 0 100 100 0 1
VV19G03610_SIM1_transcript_14514-simsii_cds 3.4 80.8 100 19.2 0 2
VV19G05810_SIM1_transcript_14888-simsii_cds 1.7 69.6 100 30.4 0 2
VV19G06040_DEL1_transcript_3202-delavayi_cds 1.2 4.2 100 95.8 0 7
